event_date,event_type,sub_event_type,actor1,actor2,interaction,admin1,fatalities
2022-01-22,Strategic developments,Other,Civilians (Myanmar),,70,Kayin,0
2022-01-22,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Magway,0
2022-01-22,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Tanintharyi,0
2022-01-22,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-01-22,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-01-22,Protests,Peaceful protest,Protesters (Myanmar),,60,Yangon,0
2022-01-22,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-01-22,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-01-22,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Magway,0
2022-01-22,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-01-22,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Ayeyarwady,0
2022-01-22,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-01-22,Strategic developments,Change to group/activity,Military Forces of Myanmar (2021-),,10,Chin,0
2022-01-22,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-01-21,Strategic developments,Change to group/activity,Military Forces of Myanmar (2021-),,10,Magway,0
2022-01-21,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-01-21,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-01-21,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-01-21,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-01-21,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-01-21,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-01-21,Strategic developments,Other,People's Defense Force - Yesagyo,,30,Magway,0
2022-01-21,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-01-21,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-01-21,Strategic developments,Change to group/activity,Military Forces of Myanmar (2021-),,10,Mandalay,0
2022-01-21,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Kayin,0
2022-01-21,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Ayeyarwady,0
2022-01-21,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-01-21,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Magway,0
2022-01-21,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Magway,0
2022-01-21,Strategic developments,Other,People's Defense Force - Demoso,,30,Kayah,0
2022-01-21,Strategic developments,Change to group/activity,Military Forces of Myanmar (2021-),,10,Chin,0
2022-01-21,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-01-20,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Shan-South,0
2022-01-20,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Magway,0
2022-01-20,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-01-20,Strategic developments,Looting/property destruction,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-01-20,Strategic developments,Arrests,Military Forces of Myanmar (2021-),Civilians (Myanmar),17,Sagaing,0
2022-01-20,Protests,Peaceful protest,Protesters (Myanmar),,60,Sagaing,0
2022-01-20,Strategic developments,Change to group/activity,Military Forces of Myanmar (2021-),,10,Shan-North,0
